ID da Venda,Data da Venda,Modelo,Marca,Cor,Tamanho,Estampa,Quantidade,Preço Unitário (R$),Valor Total do Item (R$),Etiqueta
1,2024-12-19,Camisa Manga Curta,Nike,Preto,M,Sem estampa,2,296.99,593.98,ETQ001
2,2024-12-14,Camisa Manga Longa,Tommy Hilfiger,Azul Claro,GG,Estampa pequena na frente,1,22.99,22.99,ETQ002
3,2024-06-21,Tênis,Puma,Cinza,42,Sem estampa,1,229.99,229.99,ETQ003
4,2024-05-29,Camiseta Polo,Oakley,Branco,G,Estampa grande nas costas,3,396.99,1190.97,ETQ004
5,2024-12-09,Bermuda de Sarja,Lacoste,Bege,44,Sem estampa,1,218.99,218.99,ETQ005
6,2024-12-13,Bermuda de Sarja,Element,Azul Marinho,GG,Estampa grande na frente,2,223.99,447.98,ETQ006
7,2024-11-25,Short Jeans,Lacoste,Marrom,XGG,Estampa pequena na frente e grande atrás,1,187.99,187.99,ETQ007
8,2024-11-29,Moletom com Capuz,Vans,Azul Claro,GG,Estampa pequena na frente e grande atrás,2,359.99,719.98,ETQ008
9,2024-12-22,Short Jeans,Hurley,Azul Claro,40,Sem estampa,1,81.99,81.99,ETQ009
10,2024-10-20,Camisa Regata,Sem Marca,Branco,GG,Estampa pequena na frente e grande atrás,3,138.99,416.97,ETQ010
11,2024-12-24,Camiseta Polo,Tommy Hilfiger,Vermelho,XG,Sem estampa,3,203.99,611.97,ETQ011
12,2024-07-02,Jaqueta,Quiksilver,Verde,40,Estampa pequena na frente e grande atrás,5,363.99,1819.95,ETQ012
13,2024-09-19,Calça Jeans,Hurley,Bege,GG,Sem estampa,5,299.99,1499.95,ETQ013
14,2024-06-07,Calça Moletom,Puma,Bege,GG,Estampa grande nas costas,5,282.99,1414.95,ETQ014
15,2024-05-19,Camisa Manga Longa,Nike,Verde,40,Sem estampa,4,369.99,1479.96,ETQ015
16,2024-03-19,Bermuda de Sarja,Vans,Cinza,P,Estampa grande na frente,2,62.99,125.98,ETQ016
17,2024-11-19,Chinelo,Puma,Bege,G,Estampa pequena na frente e grande atrás,5,370.99,1854.95,ETQ017
18,2024-12-30,Calça Moletom,Oakley,Bege,P,Estampa grande na frente,3,208.99,626.97,ETQ018
19,2024-12-19,Moletom com Capuz,Calvin Klein,Preto,GG,Estampa grande nas costas,2,80.99,161.98,ETQ019
20,2024-12-22,Camisa Manga Longa,Tommy Hilfiger,Cinza,G,Sem estampa,1,100.99,100.99,ETQ020
21,2024-07-06,Camiseta Polo,Puma,Marrom,44,Estampa pequena na frente,4,120.99,483.96,ETQ021
22,2024-06-11,Short Jeans,Hurley,Azul Marinho,42,Sem estampa,1,54.99,54.99,ETQ022
23,2024-08-14,Camiseta Polo,Element,Preto,40,Estampa pequena na frente,5,161.99,809.95,ETQ023
24,2024-04-30,Camisa Regata,Oakley,Marrom,42,Estampa grande na frente,3,255.99,767.97,ETQ024
25,2024-06-05,Calça Jeans,Nike,Branco,42,Sem estampa,1,302.99,302.99,ETQ025
26,2024-02-03,Jaqueta,Sem Marca,Cinza,GG,Sem estampa,1,368.99,368.99,ETQ026
27,2024-04-21,Camisa Manga Curta,Nike,Azul Claro,M,Estampa pequena na frente e grande atrás,2,209.99,419.98,ETQ027
28,2024-12-21,Bermuda de Sarja,Element,Preto,44,Estampa grande nas costas,3,38.99,116.97,ETQ028
29,2024-05-15,Short Jeans,Calvin Klein,Azul Claro,XGG,Estampa grande na frente,1,263.99,263.99,ETQ029
30,2024-01-08,Camisa Manga Curta,Lacoste,Vermelho,XGG,Sem estampa,5,341.99,1709.95,ETQ030
31,2024-06-07,Bermuda de Sarja,Lacoste,Marrom,44,Sem estampa,1,78.99,78.99,ETQ031
32,2024-05-19,Moletom com Capuz,Calvin Klein,Cinza,XGG,Estampa grande nas costas,2,306.99,613.98,ETQ032
33,2024-11-24,Short Jeans,Hurley,Azul Marinho,GG,Estampa grande na frente,5,361.99,1809.95,ETQ033
34,2024-12-24,Camisa Manga Longa,Quiksilver,Branco,G,Estampa pequena na frente e grande atrás,2,364.99,729.98,ETQ034
35,2024-06-02,Calça Moletom,Calvin Klein,Azul Claro,XGG,Estampa grande nas costas,2,368.99,737.98,ETQ035
36,2024-11-13,Camisa Regata,Puma,Verde,P,Estampa pequena na frente e grande atrás,1,315.99,315.99,ETQ036
37,2024-11-25,Moletom com Capuz,Hurley,Branco,42,Estampa pequena na frente,2,367.99,735.98,ETQ037
